// PacMan
// Criação:     01 Jan 2013
// Atualização: 25 Ago 2021
// Descrição:   Nível 1 (Pivôs)
//
// Informações dos pivôs:
// left right up down posX posY

// linha 1
0 1 0 1 47 49
1 1 0 1 167 49
1 0 0 1 377 49
0 0 0 1 480 49
0 0 0 1 480 79
0 1 0 1 587 49
1 1 0 1 795 49
1 0 0 1 915 49

// linha 2
0 1 1 1 47 158
1 1 1 1 167 158
1 1 0 1 267 158
1 1 1 0 377 158
1 1 0 0 480 158
1 1 1 0 587 158
1 1 0 1 690 158
1 1 1 1 795 158
1 0 1 1 915 158

// linha 3
0 1 1 1 47 230
1 1 1 1 167 230
1 1 1 1 267 230
1 1 1 1 690 230
1 1 1 1 795 230
1 0 1 1 915 230

// linha 4
0 1 1 1 47 300
1 0 1 1 167 300
0 1 0 1 387 300
1 0 0 1 577 300
0 1 1 1 795 300
1 0 1 0 915 300

// linha 5
0 1 0 0 120 355
1 1 1 1 167 355
1 1 1 1 267 355
1 0 1 1 387 355
0 1 1 1 577 355
1 1 1 1 690 355
1 0 1 1 795 355
1 0 0 0 900 355


// linha 6
0 1 1 1 47 407
1 0 1 1 167 407
0 1 1 0 387 407
1 0 1 0 577 407
0 1 1 1 795 407
1 0 0 1 915 407

// linha 7
0 1 1 1 47 487
1 1 1 1 167 487
1 1 1 0 267 487
1 0 0 1 419 487
0 1 0 1 543 487
1 1 1 0 690 487
1 1 1 1 795 487
1 0 1 1 915 487

// linha 8
0 1 1 0 47 560
1 0 0 1 112 560
0 1 1 1 167 560
1 1 0 1 267 560
1 1 1 0 419 560
1 1 1 0 543 560
1 1 0 1 690 560
1 0 1 1 795 560
0 1 0 1 849 560
1 0 1 0 915 560

// linha 9
0 1 0 1 47 615
1 1 1 0 112 615
1 0 1 0 167 615
0 1 1 0 267 615
1 0 0 1 379 615
0 1 0 1 583 615
1 0 1 0 690 615
0 1 1 0 795 615
1 1 1 0 849 615
1 0 0 1 915 615

// linha 10
0 1 1 0 47 660
1 1 0 0 112 660
1 1 1 0 379 660
1 1 1 0 583 660
1 0 1 0 915 660


